Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,F,73,73,17940
2,Superior,F,29,33,19810
3,Fundam.2,F,70,67,2160
4,Fundam.1,M,23,78,8010
5,Fundam.2,O,24,87,1480
6,Fundam.2,F,56,70,10490
7,Fundam.2,F,23,31,7310
8,Superior,M,53,40,10910
9,Fundam.1,F,44,22,15980
10,Fundam.2,F,20,53,6740
11,Fundam.2,F,70,15,1880
12,Fundam.1,M,38,13,15560
13,Fundam.2,M,64,63,6690
14,Fundam.1,M,16,76,16560
15,Fundam.2,M,47,14,2100
16,Superior,F,23,79,8820
17,Superior,F,63,86,6680
18,Fundam.2,O,67,40,17080
19,Fundam.1,M,69,37,12340
20,Fundam.1,F,29,50,6530
